,Serial Number,Name of movie,Director,Watchtime,Year of relase,Movie Rating,Metascore
0,1,The Dark Knight,Christopher Nolan,152,2008,9.0,84
1,2,The Lord of the Rings: The Return of the King,Peter Jackson,201,2003,9.0,94
2,3,Spider-Man: Across the Spider-Verse,"Directors:Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",140,2023,8.9,86
3,4,Inception,Christopher Nolan,148,2010,8.8,74
4,5,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,178,2001,8.8,92
5,6,The Lord of the Rings: The Two Towers,Peter Jackson,179,2002,8.8,87
6,7,The Matrix,"Directors:Lana Wachowski, Lilly Wachowski",136,1999,8.7,73
7,8,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,124,1980,8.7,82
8,9,Soorarai Pottru,Sudha Kongara,153,2020,8.7,^^^^^^
9,10,Terminator 2: Judgment Day,James Cameron,137,1991,8.6,75
10,11,Star Wars,George Lucas,121,1977,8.6,90
11,12,Shichinin no samurai,Akira Kurosawa,207,1954,8.6,98
12,13,Seppuku,Masaki Kobayashi,133,1962,8.6,85
13,14,Sita Ramam,Hanu Raghavapudi,163,2022,8.6,^^^^^^
14,15,Gladiator,Ridley Scott,155,2000,8.5,67
15,16,Léon,Luc Besson,110,1994,8.5,64
16,17,The Dark Knight Rises,Christopher Nolan,164,2012,8.4,78
17,18,Spider-Man: Into the Spider-Verse,"Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman",117,2018,8.4,87
18,19,Raiders of the Lost Ark,Steven Spielberg,115,1981,8.4,85
19,20,Avengers: Endgame,"Directors:Anthony Russo, Joe Russo",181,2019,8.4,78
20,21,Aliens,James Cameron,137,1986,8.4,84
21,22,Oldeuboi,Park Chan-wook,101,2003,8.4,77
22,23,Avengers: Infinity War,"Directors:Anthony Russo, Joe Russo",149,2018,8.4,68
23,24,Kaithi,Lokesh Kanagaraj,145,2019,8.4,^^^^^^
24,25,Asuran,Vetrimaaran,141,2019,8.4,^^^^^^
25,26,Top Gun: Maverick,Joseph Kosinski,130,2022,8.3,78
26,27,Heat,Michael Mann,170,1995,8.3,76
27,28,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,131,1983,8.3,58
28,29,Mononoke-hime,Hayao Miyazaki,134,1997,8.3,76
29,30,North by Northwest,Alfred Hitchcock,136,1959,8.3,98
30,31,Dangal,Nitesh Tiwari,161,2016,8.3,^^^^^^
31,32,Kantara,Rishab Shetty,148,2022,8.3,^^^^^^
32,33,K.G.F: Chapter 2,Prashanth Neel,168,2022,8.3,^^^^^^
33,34,Vikram,Lokesh Kanagaraj,175,2022,8.3,^^^^^^
34,35,Shershaah,Vishnuvardhan,135,2021,8.3,^^^^^^
35,36,Ratsasan,Ram Kumar,170,2018,8.3,^^^^^^
36,37,Batman Begins,Christopher Nolan,140,2005,8.2,70
37,38,Spider-Man: No Way Home,Jon Watts,148,2021,8.2,71
38,39,Indiana Jones and the Last Crusade,Steven Spielberg,127,1989,8.2,65
39,40,Jurassic Park,Steven Spielberg,127,1993,8.2,68
40,41,1917,Sam Mendes,119,2019,8.2,78
41,42,Kill Bill: Vol. 1,Quentin Tarantino,111,2003,8.2,69
42,43,Die Hard,John McTiernan,132,1988,8.2,72
43,44,V for Vendetta,James McTeigue,132,2005,8.2,62
44,45,Ran,Akira Kurosawa,162,1985,8.2,97
45,46,Kimetsu no Yaiba: Mugen Ressha-Hen,Haruo Sotozaki,117,2020,8.2,72
46,47,Gangs of Wasseypur,Anurag Kashyap,321,2012,8.2,89
47,48,Yôjinbô,Akira Kurosawa,110,1961,8.2,93
48,49,K.G.F: Chapter 1,Prashanth Neel,156,2018,8.2,^^^^^^
49,50,Baahubali 2: The Conclusion,S.S. Rajamouli,167,2017,8.2,^^^^^^
